MARKET NAME-INSTITUTION DESCRIPTION,MIC,OPERATING MIC,OPRT/SGMT,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166),CITY,COMMENTS
LONDON BULLION MARKET,XLBM,XLBM,OPRT,,,NSPD,,GB,LONDON,
"LONDON COMMODITY EXCHANGE, THE",XLCE,XLCE,OPRT,,,NSPD,,GB,LONDON,
LCH LTD,XLCH,XLCH,OPRT,,F226TOH6YD6XJB17KS62,NSPD,,GB,LONDON,"LCH GROUP IS A LEADING MULTI-ASSET CLASS AND MULTI-NATIONAL CLEARING HOUSE, SERVING MAJOR EXCHANGES AND PLATFORMS AS WELL AS A RANGE OF OTC MARKETS."
LCH LTD - BUY IN,BUYN,XLCH,SGMT,,F226TOH6YD6XJB17KS62,NSPD,,GB,LONDON,
LCH LTD - CROSS NETTING,CLCH,XLCH,SGMT,,F226TOH6YD6XJB17KS62,NSPD,,GB,LONDON,
EURONEXT - EURONEXT LONDON,XLDN,XLDN,OPRT,,21380037K2DZ19T57655,NSPD,,GB,LONDON,
EURONEXT SYNAPSE,ENSY,XLDN,SGMT,,21380037K2DZ19T57655,MLTF,,GB,LONDON,FIXED INCOME MTF
EURONEXT - TRADING FACILITY LONDON,TNLL,XLDN,SGMT,,21380037K2DZ19T57655,MLTF,,GB,LONDON,MULTILATERAL  TRADING FACILITY (MTF).
EURONEXT LIFFE,XLIF,XLDN,SGMT,,21380037K2DZ19T57655,NSPD,,GB,LONDON,MARKET DOES NOT EXIST ANYMORE.
EURONEXT BLOCK,XSMP,XLDN,SGMT,,21380037K2DZ19T57655,NSPD,,GB,LONDON,MULTILATERAL  TRADING FACILITY (MTF).
LABUAN INTERNATIONAL FINANCIAL EXCHANGE,XLFX,XLFX,OPRT,,,NSPD,LFX,MY,LABUAN,
LGT BANK AG,XLGT,XLGT,OPRT,,7KDSOB6Z0X4S67TMX170,SINT,BILV,LI,VADUZ,SYSTEMATIC INTERNALISER
