MARKET NAME-INSTITUTION DESCRIPTION,MIC,OPERATING MIC,OPRT/SGMT,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166),CITY,COMMENTS
SSY FUTURES LTD -  FREIGHT SCREEN,3579,3579,OPRT,,213800RGYOAL3KL2XL02,NSPD,,GB,LONDON,TRADING SCREEN FOR FORWARD FREIGHT AGREEMENTS (FFA).
21X,21XX,21XX,OPRT,21X AG,529900WC0LESEODR7A83,OTHR,21X,DE,FRANKFURT,
24 EXCHANGE,24EX,24EX,OPRT,,213800YXBUZH7G3NDC51,NSPD,24EX,BM,BERMUDA,FOREIGN EXCHANGE AND EQUITIES.
360T,360T,360T,OPRT,360 TREASURY SYSTEMS AG,529900P0204W9HA8JP36,MLTF,,DE,FRANKFURT,
360X,360X,360X,OPRT,360X AG,529900M42L36KXZ1JD69,MLTF,,DE,FRANKFURT,
4 AFRICA EXCHANGE (PTY) LTD,4AXE,4AXE,OPRT,,378900CCCF6D95AECA88,RMKT,,ZA,BRYANSTON - SANDTON,
A2X,A2XX,A2XX,OPRT,,,NSPD,A2X,ZA,JOHANNESBURG,REGISTERED MARKET FOR EQUITIES.
CREDIT AGRICOLE CIB,AACA,AACA,OPRT,,1VUV7VQFKUOQSJ21A208,SINT,CACIB SI,FR,PARIS,SYSTEMATIC INTERNALISER.
ATHENS EXCHANGE - APA,AAPA,AAPA,OPRT,,549300GSRN07MNENPL97,APPA,ATHEX APA,GR,ATHENS,APPROVED PUBLICATION ARRANGEMENT.
ASSENT ATS,AATS,AATS,OPRT,,,ATSS,,US,JERSEY CITY,"ASSENT ATS IS A US EQUITY DARK POOL OPERATED BY ASSENT, LLC - A SUBSIDIARY OF SUNGARD."
ABANCA,ABAN,ABAN,OPRT,,54930056IRBXK0Q1FP96,NSPD,,ES,MADRID,
ALPHA BANK,ABFI,ABFI,OPRT,,213800DBQIB6VBNU5C64,SINT,,GR,ATHENS,SYSTEMATIC INTERNALISER FOR NON EQUITIES.
ABN AMRO BANK NV,ABNA,ABNA,OPRT,,BFXS5XCH7N0Y05NIXW11,SINT,,NL,AMSTERDAM,SYSTEMATIC INTERNALISER.
ABN AMRO CLEARING BANK,ABNC,ABNC,OPRT,ABN AMRO CLEARING BANK N.V.,G8ZTNESVNKW4NN761W05,SINT,AACB SI,NL,AMSTERDAM,SYSTEMATIC INTERNALISER.
ALM. BRAND BANK,ABSI,ABSI,OPRT,,2UM1RGHWEBOSN4PMNL63,SINT,,DK,COPENHAGEN,SYSTEMATIC INTERNALISER.
ACCX,ACCX,ACCX,OPRT,ACCX GROUP (UK) LIMITED,213800YC71IW3WFNWL71,MLTF,,GB,LONDON,
ACE DERIVATIVES AND COMMODITY EXCHANGE LTD,ACEX,ACEX,OPRT,,33580057DULMQ3ANKR63,NSPD,,IN,MUMBAI,DERIVATIVES EXCHANGE FOR COMMODITIES TRADING IN INDIA.
ACX CLEARING CORPORATION LTD.,ACXC,ACXC,OPRT,ACX CLEARING CORPORATION LTD.,98450054E61056C8FF16,RMOS,,AE,ABU DHABI,
ACX,ACXL,ACXL,OPRT,ACX LTD,984500FA44A07RE3D049,RMOS,,AE,ABU DHABI,
ADVISE TECHNOLOGIES - APA TRANSPARENCY REPORTING,ADVT,ADVT,OPRT,,549300A1NXV20ZS25T07,APPA,,US,NEW YORK,APPROVED PUBLICATION ARRANGEMENT (APA).
ABIDE FINANCIAL DRSP LIMITED APA,AFDL,AFDL,OPRT,ABIDE FINANCIAL DRSP LIMITED,549300FVRWYPDFJTH118,APPA,AFDLAPA,GB,LONDON,
AGRICULTURAL FUTURES EXCHANGE OF THAILAND,AFET,AFET,OPRT,,,NSPD,,TH,BANGKOK,
AFRINEX LIMITED,AFEX,AFEX,OPRT,,894500KM5IC8X0Z2BZ48,NSPD,,MU,"CYBERCITY, EBENE",
AFS - OTF,AFSA,AFSA,OPRT,,7245004T3GVMWC5LP916,OTFS,,NL,AMSTERDAM,ORGANISED TRADING FACILITY.
AFS - OTF - INTEREST RATE DERIVATIVES,AFSI,AFSA,SGMT,,7245004T3GVMWC5LP916,OTFS,,NL,AMSTERDAM,ORGANISED TRADING FACILITY FOR INTEREST RATE DERIVATIVES.
AFS - OTF - STRUCTURED PRODUCTS,AFSL,AFSA,SGMT,,7245004T3GVMWC5LP916,OTFS,,NL,AMSTERDAM,ORGANISED TRADING FACILITY FOR STRUCTURED PRODUCTS.
AFS - OTF - BONDS,AFSO,AFSA,SGMT,,7245004T3GVMWC5LP916,OTFS,,NL,AMSTERDAM,"ORGANISED TRADING FACILITY FOR BONDS (CORPORATE, GOVERNMENT, T-BILL, CP, CD, MTN)."
AFS - OTF - FX FORWARDS,AFSX,AFSA,SGMT,,7245004T3GVMWC5LP916,OTFS,,NL,AMSTERDAM,ORGANISED TRADING FACILITY FOR FX FORWARDS.
AFS E-VENUES B.V.,AFSE,AFSE,OPRT,,7245000KV7IJNRFFOZ81,NSPD,,NL,AMSTERDAM,
ACCESS FINTECH,AFTS,AFTS,OPRT,ACCESS FINTECH (UK) LTD,9845002B7563B4BDA264,OTHR,,GB,LONDON,REPORTING MATCHED TRADES TO CCP'S FOR CLEARING.
A AND G BANCA PRIVADA SAU,AGBP,AGBP,OPRT,,959800QKRKCC19MR2G52,NSPD,,ES,MADRID,
ARRACO IRELAND LTD,AILT,AILT,OPRT,ARRACO IRELAND LTD,549300PSF3R0OJC39C84,NSPD,,IE,DUBLIN,BROKER OF REMIT PHYSICAL WHOLESALE ENERGY PRODUCTS AND PRE-ARRANGEMENT OF BLOCK FUTURES.
AIXECUTE,AIXE,AIXE,OPRT,,4T0J6O251JXNEB0VEZ08,NSPD,,CH,BERNE,REPLACED BY OTXB.
ASTANA INTERNATIONAL EXCHANGE LTD,AIXK,AIXK,OPRT,,254900L6FRRJKZTLNY11,RMKT,AIX,KZ,ASTANA,
AKIS - BANCO BPM,AKIS,AKIS,OPRT,BANCO BPM SOCIETA' PER AZIONI,815600E4E6DCD2D25E30,SINT,AKIS,IT,MILAN,
BLOX,ALGO,ALGO,OPRT,ALGORITHMICA SOLUTIONS LTD,984500BCC73F71C0D336,NSPD,BLOX,GB,LONDON,
ALLT - OTF,ALLT,ALLT,OPRT,,549300UZRRVYI5I5P867,OTFS,ALLT-OTF,ES,MADRID,ORGANISED TRADING FACILITY. REGISTERED MARKET FOR BONDS.
ALPHAX US,ALPX,ALPX,OPRT,"TSX ALPHA U.S., INC.",254900X7LE2ZN6TF1Y69,ATSS,,US,NEW YORK,
AKTIESELSKABET ARBEJDERNES LANDSBANK,ALSI,ALSI,OPRT,,549300D6BJ7XOO03RR69,SINT,ALSI,DK,COPENHAGEN,SYSTEMATIC INTERNALISER.
AMERICAN LEDGER ATS,AMLG,AMLG,OPRT,AMERICAN LEDGER ATS LLC,98450009EED4SDC3CA92,ATSS,,US,MOORPARK,ALTERNATIVE TRADING SYSTEM.
ASSET MATCH PRIVATE EXCHANGE,AMPX,AMPX,OPRT,ASSET MATCH LIMITED,21380095NEP4KIHOWO82,NSPD,AMPX,GB,LONDON,MULTILATERAL TRADING FACILITY (MTF) FOR EQUITIES.
ABBEY NATIONAL TREASURY SERVICES PLC,ANTS,ANTS,OPRT,,R83QYRLEMH4ZSHI0L097,SINT,ANTS,GB,LONDON,SYSTEMATIC INTERNALISER.
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED - SYSTEMATIC INTERNALISER,ANZL,ANZL,OPRT,,JHE42UYNWWTJB8YTTU19,SINT,ANZBGL,GB,LONDON,SYSTEMATIC INTERNALISER.
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANLP,ANZL,SGMT,,JHE42UYNWWTJB8YTTU19,NSPD,,GB,LONDON,LIQUIDITY PROVIDER.
WIENER BOERSE AG - APA,APAW,APAW,OPRT,WIENER BOERSE AG,315700ENWH1A81RCVZ91,APPA,,AT,VIENNA,APPROVED PUBLICATION ARRANGEMENT.
ASIA PACIFIC EXCHANGE,APEX,APEX,OPRT,,,NSPD,APEX,SG,SINGAPORE,ELECTRONIC TRADING PLATFORM FOR DERIVATIVES.
ASIA PACIFIC CLEAR,APCL,APEX,SGMT,,,NSPD,APEX CLEAR,SG,SINGAPORE,APEX'S CLEARING HOUSE.
SYDNEY STOCK EXCHANGE LIMITED,APXL,APXL,OPRT,,,NSPD,SSX,AU,SYDNEY,"AS A SECURITIES EXCHANGE,SSX PROVIDES LISTING FACILITIES TO COMPANIES AND SECURITIES ISSUERS AS WELL AS TRADING FACILITIES FOR STOCK BROKERS, TRADERS AND INVESTORS TO BUY AND SELL SHARES/SECURITIES."
AQUIS EXCHANGE EUROPE,AQEU,AQEU,OPRT,AQUIS EXCHANGE EUROPE,9695002NSIQWF9A09R56,MLTF,,FR,PARIS,
AQUIS EXCHANGE EUROPE AUCTION ON DEMAND (AOD),AQEA,AQEU,SGMT,AQUIS EXCHANGE EUROPE,9695002NSIQWF9A09R56,MLTF,,FR,PARIS,
AQUIS EXCHANGE EUROPE NON DISPLAY ORDER BOOK (NDOB),AQED,AQEU,SGMT,AQUIS EXCHANGE EUROPE,9695002NSIQWF9A09R56,MLTF,,FR,PARIS,
AQUIS STOCK EXCHANGE,AQSE,AQSE,OPRT,AQUIS STOCK EXCHANGE LIMITED,213800AMGNBSOCOSDN11,RMKT,AQSE,GB,LONDON,
AQSE MAIN MARKET (NON-EQUITY),AQSD,AQSE,SGMT,AQUIS STOCK EXCHANGE LIMITED,213800AMGNBSOCOSDN11,RMKT,AQSE,GB,LONDON,
AQSE GROWTH MARKET (NON-EQUITY),AQSF,AQSE,SGMT,AQUIS STOCK EXCHANGE LIMITED,213800AMGNBSOCOSDN11,MLTF,AQSE,GB,LONDON,
AQSE GROWTH MARKET (EQUITY),AQSG,AQSE,SGMT,AQUIS STOCK EXCHANGE LIMITED,213800AMGNBSOCOSDN11,MLTF,AQSE,GB,LONDON,
AQSE MAIN MARKET (EQUITY),AQSL,AQSE,SGMT,AQUIS STOCK EXCHANGE LIMITED,213800AMGNBSOCOSDN11,RMKT,AQSE,GB,LONDON,
AQSE TRADING (NON-EQUITY),AQSN,AQSE,SGMT,AQUIS STOCK EXCHANGE LIMITED,213800AMGNBSOCOSDN11,MLTF,AQSE,GB,LONDON,
AQSE TRADING (EQUITY),AQST,AQSE,SGMT,AQUIS STOCK EXCHANGE LIMITED,213800AMGNBSOCOSDN11,MLTF,AQSE,GB,LONDON,
AQUA EQUITIES L.P.,AQUA,AQUA,OPRT,AQUA SECURITIES L.P.,,NSPD,,US,NEW YORK,REGISTERED MARKET FOR BLOCK EQUITIES
AQUIS EXCHANGE PLC,AQXE,AQXE,OPRT,AQUIS EXCHANGE PLC,213800IXJSF5E1SIW150,MLTF,AQX,GB,LONDON,PAN-EUROPEAN EQUITIES TRADING EXCHANGE (MTF).
AQUIS EXCHANGE PLC AUCTION ON DEMAND (AOD),AQXA,AQXE,SGMT,AQUIS EXCHANGE PLC,213800IXJSF5E1SIW150,MLTF,,GB,LONDON,
AQUIS EXCHANGE PLC AMP NON DISPLAY ORDER BOOK,AQXD,AQXE,SGMT,AQUIS EXCHANGE PLC,213800IXJSF5E1SIW150,MLTF,,GB,LONDON,
AQUIS EXCHANGE PLC AQUIS - EIX INFRASTRUCTURE BOND MARKET,EIXE,AQXE,SGMT,AQUIS EXCHANGE PLC,213800IXJSF5E1SIW150,MLTF,AQUIS-EIX,GB,LONDON,AQUIS-EIX INFRASTRUCTURE BOND MARKET
ARRACO GLOBAL MARKETS LTD,ARAX,ARAX,OPRT,ARRACO GLOBAL MARKETS LTD,5493004Z6DAT13X5DK60,NSPD,,GB,LONDON,REGISTERED FOR BROKING OF EUROPEAN POWER AND GAS WHOLESALE PRODUCTS.
ARCHAX,ARCH,ARCH,OPRT,ARCHAX LTD,8755004G4UQX5BQOU260,MLTF,,GB,LONDON,MULTILATERAL TRADING FACILITY (MTF) FOR DIGITAL ASSETS.
ARCHAX - DIGITAL ASSETS,ARDA,ARCH,SGMT,ARCHAX LTD,8755004G4UQX5BQOU260,ATSS,,GB,LONDON,ALTERNATIVE TRADING FACILITY FOR DIGITAL ASSETS.
AREX - AUTOMATED RECEIVABLES EXCHANGE,AREX,AREX,OPRT,,,NSPD,AREX,IE,DUBLIN,MARKET FOR ETR (EXCHANGE TRADED RECEIVABLES) ORDER EXECUTION.
ARIAN TRADING FACILITY,ARIA,ARIA,OPRT,ARIAN FINANCIAL LLP,21380097QNN7QGLDSR92,NSPD,,GB,LONDON,
ARKONIS,ARKX,ARKX,OPRT,,8945001AYQ4XO2432N56,NSPD,ARKX,US,NEW YORK,
ARTEX GLOBAL MARKETS AG,ARTX,ARTX,OPRT,ARTEX GLOBAL MARKETS AG,254900UL01RE2SEBFH84,MLTF,ARTEX GM,LI,VADUZ,
AEGIS SWAP EXECUTION FACILITY,ASEF,ASEF,OPRT,"AEGIS SEF, LLC",254900ZH79LFSDGGAC34,SEFS,,US,THE WOODLANDS,SWAP EXECUTION FACILITY.
ATHENS STOCK EXCHANGE,ASEX,ASEX,OPRT,HELLENIC EXCHANGES-ATHENS STOCK EXCHANGE S.A.,549300GSRN07MNENPL97,RMKT,ASE,GR,ATHENS,
ATHENS EXCHANGE ALTERNATIVE MARKET,ENAX,ASEX,SGMT,HELLENIC EXCHANGES-ATHENS STOCK EXCHANGE S.A.,549300GSRN07MNENPL97,MLTF,ENAX,GR,ATHENS,
ATHENS EXCHANGE EUAS MARKET,EUAX,ASEX,SGMT,,213800IW53U9JMJ4QR40,NSPD,,GR,ATHENS,ELECTRONIC TRADING PLATFORM FOR EMISSION ALLOWANCES (EUAS).
HELLENIC EXCHANGE OTC MARKET,HOTC,ASEX,SGMT,HELLENIC EXCHANGES-ATHENS STOCK EXCHANGE S.A.,549300GSRN07MNENPL97,NSPD,,GR,ATHENS,THE HELLENIC EXCHANGE OTC MARKET IS THE OVER-THE-COUNTER ELECTRONIC TRADING MARKET FOR ATHENS EXCHANGE.
ATHENS EXCHANGE S.A. DERIVATIVES MARKET,XADE,ASEX,SGMT,HELLENIC EXCHANGES-ATHENS STOCK EXCHANGE S.A.,549300GSRN07MNENPL97,RMKT,ATHEXD,GR,ATHENS,
ATHENS EXCHANGE S.A. CASH MARKET,XATH,ASEX,SGMT,HELLENIC EXCHANGES-ATHENS STOCK EXCHANGE S.A.,549300GSRN07MNENPL97,RMKT,ATHEXC,GR,ATHENS,
HELEX ELECTRONIC BOOK BUILDING,XIPO,ASEX,SGMT,HELLENIC EXCHANGES-ATHENS STOCK EXCHANGE S.A.,549300GSRN07MNENPL97,NSPD,EBB,GR,ATHENS,EBB IS A PRIMARY MARKET (IPO MARKET).
ATADEL FUNDS,ATAD,ATAD,OPRT,ATADEL FUNDS S.R.O.,254900VHRL9AP6M81C76,ATSS,,CZ,PRAGUE,ASSET MANAGEMENT COMPANY FOR QUALIFIED INVESTORS.
"AUTOMATED TRADING DESK FINANCIAL SERVICES, LLC",ATDF,ATDF,OPRT,,549300MTPTPKGFSLJX85,NSPD,ATDF,US,MOUNT PLEASANT,US BROKER-DEALER EQUITY MARKET MAKER.
ATHLOS CAPITAL INVESTMENT SERVICES LTD,ATHL,ATHL,OPRT,,254900KH6PO0O17YI150,SINT,,CY,NICOSIA,SYSTEMATIC INTERNALISER.
BRAEMAR SECURITIES LTD,ATLB,ATLB,OPRT,BRAEMAR SECURITIES LTD,549300MKGUYMMT8WIJ94,NSPD,,GB,LONDON,REGISTERED FOR BROKING WHOLESALE GAS PRODUCTS.
BRAEMAR SECURITIES LTD - OTF,BRAE,ATLB,SGMT,BRAEMAR SECURITIES LTD,549300MKGUYMMT8WIJ94,OTFS,,GB,LONDON,
ATONLINE LIMITED,ATLN,ATLN,OPRT,,213800PZWYFKIOAGQY35,SINT,,CY,NICOSIA,SYSTEMATIC INTERNALISER.
ALPHA VENTURE PLUS,ATSA,ATSA,OPRT,,,NSPD,,CA,TORONTO,MIC TO USE IS XATS (ALPHA EXCHANGE)
AUREL,AURB,AURB,OPRT,AUREL BGC,5RJTDGZG4559ESIYLD31,NSPD,,FR,PARIS,
AUREL - OTF,AURO,AURB,SGMT,AUREL BGC,5RJTDGZG4559ESIYLD31,OTFS,,FR,PARIS,ORGANISED TRADING FACILITY.
GFI PARIS - OTF,GFPO,AURB,SGMT,,5RJTDGZG4559ESIYLD31,OTFS,,FR,PARIS,ORGANISED TRADING FACILITY.
AUTILLA,AUTX,AUTX,OPRT,,,NSPD,,GB,LONDON,ELECTRONIC PLATFORM FOR COMMODITIES AND FX.
AUTILLA - BASE METALS,AUTB,AUTX,SGMT,,,NSPD,,GB,LONDON,
AUTILLA - PRECIOUS METALS,AUTP,AUTX,SGMT,,,NSPD,,GB,LONDON,
AUSTRALIAN WHEAT BOARD,AWBX,AWBX,OPRT,CARGILL AUSTRALIA LIMITED,5493001DLXSQ807GTQ97,NSPD,AWB,AU,MELBOURNE,
AUSTRALIAN WOOL EXCHANGE,AWEX,AWEX,OPRT,,,NSPD,AWEX,AU,LANE COVE,
ALEXANDRIA PANKKIIRILIIKE OYJ,AXSI,AXSI,OPRT,,7437002ONTEZT59NA993,SINT,,FI,HELSINKI,SYSTEMATIC INTERNALISER.
BAADER BANK,BAAD,BAAD,OPRT,,529900JFOPPEDUR61H13,SINT,,DE,UNTERSCHLEISSHEM,SYSTEMATIC INTERNALISER.
BOLSA DE CEREALES DE BUENOS AIRES,BACE,BACE,OPRT,,,NSPD,,AR,BUENOS AIRES,COMMODITY EXCHANGE.
BAIKAL,BAIK,BAIK,OPRT,,,NSPD,,GB,LONDON,LSEG HAS COMPLETED ITS ACQUISITION OF TURQUOISE TRADING LIMITED (TURQUOISE) THROUGH A MERGER OF THE BUSINESSES OF TURQUOISE AND BAIKAL GLOBAL LIMITED (BAIKAL).THE NEW VENTURE WILL CONTINUE TO TRADE UNDER THE TURQUOISE NAME.
BANK OF AMERICA MERRILL LYNCH EQUITY SWAP - INTERNAL PRICE SOURCE,BAIP,BAIP,OPRT,,GGDZP1UYGU9STUHRDP48,NSPD,,HK,HONG KONG,
BANK OF AMERICA SECURITIES - CENTRAL RISK,BACR,BAIP,SGMT,,GGDZP1UYGU9STUHRDP48,NSPD,,HK,HONG KONG,
BANK OF AMERICA MERRILL LYNCH EQUITY SWAP - EXTERNAL PRICE SOURCE,BAEP,BAIP,SGMT,,GGDZP1UYGU9STUHRDP48,NSPD,,HK,HONG KONG,
BANK OF AMERICA SECURITIES EQUITY SWAP - SYNTHETIC PRICE SOURCE,BASP,BAIP,SGMT,,GGDZP1UYGU9STUHRDP48,NSPD,,HK,HONG KONG,
BANK OF AMERICA MERRILL LYNCH - JAPAN INSTINCT X,BAJD,BAJD,OPRT,,I7E80LI4NVVT41W1WB02,ATSS,,JP,TOKYO,
THE BALTIC EXCHANGE,BALT,BALT,OPRT,BALTIC EXCHANGE LIMITED(THE),213800L2KQ61Y79TWR71,NSPD,,GB,LONDON,
BALTEX - FREIGHT DERIVATIVES MARKET,BLTX,BALT,SGMT,BALTIC EXCHANGE LIMITED(THE),213800L2KQ61Y79TWR71,NSPD,,GB,LONDON,MTF FOR ELECTRONIC TRADING OF FREIGHT DERIVATIVES
BANK OF AMERICA - MERRILL LYNCH INSTINCT X ATS,BAML,BAML,OPRT,,,ATSS,MLIX,US,NEW YORK,REGISTERED ATS (ATS 2).
BANK OF AMERICA - MERRILL LYNCH OTC,MLCO,BAML,SGMT,,,NSPD,,US,NEW YORK,USED FOR HIGH TOUCH AND 'DIRECT TO CAPITAL' EXECUTIONS.
BANK OF AMERICA - MERRILL LYNCH VWAP CROSS,MLVX,BAML,SGMT,,,ATSS,,US,NEW YORK,REGISTERED ATS (ATS 1)
MERR POOL XLN,BAMP,BAMP,OPRT,,,NSPD,,US,NEW YORK,DARK POOL REQUESTED BY MISTAKE. BAML AND BAMP ARE THE SAME.
BANK OF AMERICA - MERRILL LYNCH GCX,BAMX,BAMX,OPRT,,,NSPD,MLCX,US,NEW YORK,CROSSING ENGINE FOR EQUITIES.
"BANK OF AMERICA, NATIONAL ASSOCIATION",BANA,BANA,OPRT,,B4TYDEB6GKMZO031MB27,NSPD,BANA,GB,LONDON,
"BANK OF AMERICA, NATIONAL ASSOCIATION - LONDON BRANCH OFFICE - SYSTEMATIC INTERNALISER",BASI,BANA,SGMT,,B4TYDEB6GKMZO031MB27,SINT,BANA LONDON,GB,LONDON,SYSTEMATIC INTERNALISER.
"BANK OF AMERICA, NATIONAL ASSOCIATION - LONDON BRANCH OFFICE",BOAL,BANA,SGMT,,B4TYDEB6GKMZO031MB27,NSPD,,GB,LONDON,
BLOOMBERG - APA,BAPA,BAPA,OPRT,BLOOMBERG DATA REPORTING SERVICES LIMITED,254900BF4G8VMW8GG471,APPA,,GB,LONDON,BLOOMBERG APPROVED PUBLICATION ARRANGEMENT.
BLOOMBERG DATA REPORTING SERVICES B.V. - APA,BAPE,BAPE,OPRT,,2549009C0EQ5M7H6ZY67,APPA,,NL,AMSTERDAM,APPROVED PUBLICATION ARRANGEMENT.
BALTPOOL,BAPX,BAPX,OPRT,,,NSPD,,LT,VILNIUS,BALTPOOL UAB IS THE ELECTRICITY MARKET OPERATOR OF LITHUANIA.
BARCLAYS ATS,BARX,BARX,OPRT,,,ATSS,,US,NEW YORK,REGISTERED ATS.
BARCLAYS FX - TRADING,BARD,BARX,SGMT,,,NSPD,BCAP LX,US,NEW YORK,
BARCLAYS LIQUID MARKETS,BARL,BARX,SGMT,,,NSPD,,US,NEW YORK,
BARCLAYS SINGLE DEALER PLATFORM,BBOK,BARX,SGMT,BARCLAYS CAPITAL INC.,AC28XWWI3WIBK2824319,NSPD,BBOK,US,NEW YORK,U.S. EQUITIES SINGLE DEALER PLATFORM/POOL.
BARCLAYS DIRECT EX ATS,BCDX,BARX,SGMT,BARCLAYS CAPITAL INC.,,ATSS,BCDX,US,NEW YORK,REGISTERED ATS.
BANK OF AMERICA MERRILL LYNCH - SWAP EXECUTIONS,BASE,BASE,OPRT,,549300VDY6P7FVMD4W57,NSPD,MLFE,HK,HONG KONG,
BANK OF AMERICA MERRILL LYNCH - SIMPLEX BLAST X,BASX,BASX,OPRT,,I7E80LI4NVVT41W1WB02,NSPD,,JP,TOKYO,DARK POOL.
BARCLAYS BANK IRELAND PLC,BBIE,BBIE,OPRT,,2G5BKIC2CB69PRJH1W31,NSPD,BBI,IE,DUBLIN,
BARCLAYS BANK IRELAND PLC - SYSTEMATIC INTERNALISER,BBIS,BBIE,SGMT,,2G5BKIC2CB69PRJH1W31,SINT,BBI SI,IE,DUBLIN,SYSTEMATIC INTERNALISER.
BONDBLOX EXCHANGE,BBLX,BBLX,OPRT,BONDEVALUE PTE LTD,,NSPD,BBX,SG,SINGAPORE,
BLOOMBERG SEF LLC,BBSF,BBSF,OPRT,BLOOMBERG SEF LLC,5493003IUYOH354SNS58,SEFS,,US,NEW YORK,ELECTRONIC TRADING PLATFORM FOR REGULATED OTC DERIVATIVES TRANSACTIONS.
BLOOMBERG SEF LLC - SECURITY-BASED SWAP EXECUTION FACILITY (SBSEF),BBSN,BBSF,SGMT,BLOOMBERG SEF LLC,5493003IUYOH354SNS58,OTHR,BSEF,US,NEW YORK,
BB SECURITIES LTD,BBSX,BBSX,OPRT,,213800MIMZ9M6KCKW783,NSPD,,GB,LONDON,
BANCO BILBAO VIZCAYA ARGENTARIA S.A,BBVA,BBVA,OPRT,BANCO BILBAO VIZCAYA ARGENTARIA SOCIEDAD ANONIMA,K8MS7FD7N5Z2WQ51AZ71,SINT,BBVA,ES,MADRID,SYSTEMATIC INTERNALISER.
BANCO BILBAO VIZCAYA ARGENTARIA S.A. - UK,BBVX,BBVX,OPRT,BANCO BILBAO VIZCAYA ARGENTARIA SOCIEDAD ANONIMA,5493000ITT4HB63XLV65,SINT,BBVA,GB,LONDON,
"BANQUE ET CAISSE D'EPARGNE DE L'ETAT, LUXEMBOURG - BCEE",BCEE,BCEE,OPRT,,R7CQUF1DQM73HUTV1078,SINT,BCEE,LU,LUXEMBOURG,SYSTEMATIC INTERNALISER. MIC FOR SI ACTIVITY.
BOLSA DE COMERCIO DE SANTA FE,BCFS,BCFS,OPRT,,,NSPD,,AR,SANTA FE,
MERCADO DE VALORES DEL LITORAL S.A.,XMVL,BCFS,SGMT,,,NSPD,,AR,SANTA FE,
BANCA MARCH S.A.,BCMA,BCMA,OPRT,,959800LQ598A5RQASA61,SINT,MARCH,ES,PALMA DE MALLORCA,SYSTEMATIC INTERNALISER.
BOLSA DE CEREAIS E MERCADORIAS DE MARINGÁ,BCMM,BCMM,OPRT,,,NSPD,,BR,MARINGA,COMMODITIES MARKET.
CBOE EUROPE REGULATED MARKETS,BCRM,BCRM,OPRT,,254900ERRPSKE7UZH711,RMKT,CBOE  EUROPE,GB,LONDON,CBOE REGULATED MARKETS.
CBOE EUROPE - REGULATED MARKET DARK BOOK,BARK,BCRM,SGMT,,254900ERRPSKE7UZH711,RMKT,CBOE  REGM DARK,GB,LONDON,CBOE EUROPE - REGULATED MARKET SECURITIES MIC CODE FOR DARK ORDER BOOK TRADES
CBOE EUROPE - REGULATED MARKET OFF BOOK,BARO,BCRM,SGMT,,254900ERRPSKE7UZH711,RMKT,CBOE  REGM OFF BOOK,GB,LONDON,CBOE EUROPE - REGULATED MARKET SECURITIES MIC CODE FOR OFF-BOOK TRADES
CBOE EUROPE - REGULATED MARKET INTEGRATED BOOK,BART,BCRM,SGMT,,254900ERRPSKE7UZH711,RMKT,CBOE  REGM LIT,GB,LONDON,CBOE EUROPE - REGULATED MARKET SECURITIES MIC CODE FOR INTEGRATED BOOK TRADES
BROKERCREDITSERVICE (CYPRUS) LIMITED,BCSC,BCSC,OPRT,,5493008C22FNI0QEEF10,SINT,BCE,CY,LIMASSOL,SYSTEMATIC INTERNALISER.
BELARUS CURRENCY AND STOCK EXCHANGE,BCSE,BCSE,OPRT,,,RMKT,BCSE,BY,MINSK,
BARCLAYS CAPITAL SECURITIES LIMITED,BCSL,BCSL,OPRT,BARCLAYS CAPITAL SECURITIES LIMITED,K9WDOH4D2PYBSLSOB484,NSPD,BCSL,GB,LONDON,
BARCLAYS CAPITAL SECURITIES LIMITED - SYSTEMATIC INTERNALISER,BCSI,BCSL,SGMT,BARCLAYS CAPITAL SECURITIES LIMITED,K9WDOH4D2PYBSLSOB484,SINT,BCSL SI,GB,LONDON,SYSTEMATIC INTERNALISER.
CBOE EUROPE EQUITIES,BCXE,BCXE,OPRT,CBOE EUROPE LIMITED,254900ERRPSKE7UZH711,MLTF,CBOE  EUROPE,GB,LONDON,PAN-EUROPEAN RECOGNISED INVESTMENT EXCHANGE.
CBOE EUROPE - BXE DARK ORDER BOOK,BATD,BCXE,SGMT,CBOE EUROPE LIMITED,254900ERRPSKE7UZH711,MLTF,CBOE DARK,GB,LONDON,TO BE USED FOR REPORTING DARK BOOK EXECUTIONS.
CBOE EUROPE - BXE ORDER BOOKS,BATE,BCXE,SGMT,CBOE EUROPE LIMITED,254900ERRPSKE7UZH711,MLTF,CBOE EUROPE,GB,LONDON,MULTILATERAL TRADING FACILITY FOR CASH EQUITIES.
CBOE EUROPE - BXE OFF-BOOK,BATF,BCXE,SGMT,CBOE EUROPE LIMITED,254900ERRPSKE7UZH711,MLTF,CBOE OFF-BOOK,GB,LONDON,CBOE EUROPE (BXE) OFF-BOOK TRADE REPORTS.
CBOE EUROPE - BXE PERIODIC,BATP,BCXE,SGMT,CBOE EUROPE LIMITED,254900ERRPSKE7UZH711,MLTF,BXE PERIODIC,GB,LONDON,TO BE USED FOR EXECUTIONS RESULTING FROM CBOE BXE AUCTIONS BOOK.
